cell_id,m_manual,note,flagged
517406609,0,,False
517406636,0,,False
517407734,0,,False
517407128,0,,False
589156275,1,,False
517420193,0,,False
662301618,0,,False
517407703,0,,False
517429042,0,,False
517472903,0,,False
517410213,0,,False
517429105,0,,False
517420741,-1,looks like m=1,True
517472171,0,,False
517407646,0,,False
662297382,0,,False
673033110,0,,False
662278543,0,,False
662279767,0,,False
662301656,0,,False
662301728,0,,False
662278772,0,,False
701727554,0,,False
662282845,1,,False
587436126,0,,False
673032174,0,,False
662284561,0,,False
517419591,0,low quality rf - looks most like large blob,True
517511287,0,,False
587179161,0,,False
662301108,0,,False
673449307,0,,False
517406623,0,,False
662297944,0,,False
701721532,0,,False
701720921,0,,False
517428523,0,,False
662302270,0,,False
662302637,0,,False
673449054,0,,False
517510768,0,,False
517430582,0,,False
673032746,0,,False
662296310,0,,False
701726834,0,,False
517428799,0,,False
696519355,0,,False
674569084,0,,False
662299307,0,,False
701730004,0,,False
701719848,0,,False
662301154,0,,False
587377366,0,,False
662300827,0,,False
587179530,1,,False
674569235,-1,looks like potential m=1,True
662299773,1,,False
662286574,0,,False
673448151,0,,False
673449031,0,,False
662301716,0,,False
517408585,0,,False
674569393,0,,False
517511827,0,,False
673449856,0,,False
701720325,0,classical overfiiting,False
729434994,0,,False
662278448,0,,False
701733277,0,,False
662298191,0,,False
517472772,0,,False
517509862,1,clear pattern for edge detector,False
673448384,0,,False
701733772,0,,False
517426900,0,,False
517423330,0,,False
701728849,0,,False
517514557,0,,False
662301689,0,,False
729435557,0,,False
696519384,0,,False
729432671,0,,False
662287611,0,,False
696519372,0,,False
662279460,1,,False
662282790,0,,False
517510201,0,,False
701726228,0,,False
696522974,0,,False
517419869,0,,False
674568874,0,,False
701724594,0,,False
701723979,0,,False
662286814,0,,False
587436162,0,,False
696519360,0,,False
517422765,0,,False
662284816,1,very interesting as visually it is m=1 but m=2 fit is so close by r-squared,False
696521092,0,,False
673033757,0,,False
589170364,0,,False
701720672,-1,very noisy can be anything,False
517430032,0,,False
662280370,-1,pure noise,False
696524123,0,,False
701728881,0,,False
662296626,0,,False
701720914,0,,False
701728919,1,,False
673033511,0,,False
662302328,0,,False
517513231,0,,False
662285267,0,,False
662297327,1,,False
517511083,0,,False
662281813,0,,False
696522292,0,,False
517473947,0,,False
662299541,0,,False
662283533,0,,False
696518550,0,,False
587435972,1,visually ibvious m=1,False
517514147,0,,False
701730994,0,,False
701723530,0,,False
662299951,0,,False
673032005,0,,False
696520178,0,,False
662298838,0,,False
587179520,0,,False
701728779,0,,False
587179539,0,,False
701720791,0,,False
662283818,0,,False
517408261,0,,False
674570707,0,,False
662288127,0,,False
696520477,0,,False
673449724,0,,False
696521048,0,,False
662288155,0,,False
517422589,0,,False
662284952,0,,False
517427938,0,,False
701728952,0,,False
517408265,0,,False
673033198,0,,False
517472534,0,,False
662281616,0,,False
701731603,0,,False
701721754,0,,False
662286865,0,,False
517420091,0,,False
729432401,0,,False
517407844,0,,False
701731506,0,,False
517430362,0,,False
517423114,0,,False
701724338,0,,False
701727695,0,,False
588901357,0,,False
729434416,0,,False
696526001,0,,False
701733372,0,,False
729434126,0,,False
662284902,0,,False
662297397,0,,False
517422611,0,,False
588901890,0,,False
517514715,0,,False
701721940,0,,False
662297888,2,,False
701723119,0,,False
673449863,0,,False
673448782,0,,False
517513335,0,,False
517408245,0,,False
662296275,0,,False
701720266,0,,False
517510755,0,,False
517514088,1,,False
517423492,0,,False
517409203,0,,False
517431455,0,,False
662301457,0,,False
662302597,0,,False
517424904,0,,False
517425085,2,,False
696524479,0,,False
701723010,0,,False
662297464,0,,False
517513138,0,"diagonal structure, m=1 fit failed bad orientation, m=2 plausible but marginal",True
673449291,0,,False
517408111,0,,False
662299672,0,,False
517419958,0,,False
674570702,1,possibly noise,True
662286947,0,,False
696520666,0,,False
701719950,0,,False
673451264,0,,False
662281581,0,,False
673451166,0,,False
662282954,0,,False
517407066,0,,False
662285456,0,,False
589170196,1,possibly noise,True
587436156,0,,False
517406769,0,,False
517510232,0,,False
701721693,0,,False
673449684,0,,False
696523122,0,,False
696522724,0,,False
696519586,0,,False
662296566,0,,False
673032360,0,,False
673032378,0,,False
674569900,0,,False
696518716,0,,False
701727187,0,,False
729435267,0,,False
701720637,0,,False
662284306,0,,False
701722352,0,,False
696525602,0,,False
673450292,-1,,False
662283878,0,,False
517511567,-1,,False
696522750,0,,False
701731817,0,,False
